Gene	Chr	Start	End	SNP	Pvalue
TSNARE1	8	143293441	143484601	rs13262595	5.666E-21
BTN1A1	6	26501449	26510650	rs13195636	2.901E-41
RORB	9	77112281	77308093	rs500102	1.173E-08
INHBC	12	57828543	57844611	rs61937595	3.074E-15
INHBE	12	57846106	57853063	rs61937595	3.074E-15
ADM5	19	50191921	50193832	rs2304205	3.469E-15
GJD2	15	35043233	35047166	rs2917627	3.897E-08
NGEF	2	233743396	233877982	rs778371	3.759E-18
SLC25A20	3	48894369	48936426	rs2710323	6.552E-21
GAPT	5	57787262	57792917	rs39967	9.944E-10
CNN1	19	11649532	11661138	rs72986630	2.625E-10
SLTM	15	59171244	59225852	rs11854073	4.406E-08
ZNF276	16	89786808	89807311	rs11076631	7.285E-10
AC027228.1	15	78830023	78831288	rs2456020	6.32E-16
AC110084.1	2	27998851	28009186	rs12474906	1.155E-08
UNC119B	12	121148238	121161443	rs2649999	5.23E-10
TSHB	1	115572415	115576941	rs2224086	6.777E-09
CRTC2	1	153920145	153931101	rs10127983	1.18E-08
CRK	17	1323983	1366456	rs3752827	1.446E-10
B9D1	17	19240867	19281495	rs4073003	2.651E-12
SDHAF1	19	36486090	36487220	rs3810450	2.294E-09
QPCT	2	37571717	37600465	rs3770752	1.952E-11
TRPM6	9	77337411	77503010	rs500102	1.173E-08
B4GALT2	1	44444615	44456840	rs11210892	1.415E-16
GNL3	3	52715172	52728508	rs2710323	6.552E-21
MAN2A2	15	91445448	91465814	rs4702	1.373E-24
SGOL2	2	201374731	201448505	rs1658810	1.388E-16
CORO2A	9	100883257	100954922	rs10985811	3.178E-09
EPN2	17	19118928	19240028	rs4073003	2.651E-12
SMTNL1	11	57308979	57318108	rs7938083	1.041E-10
CCDC134	22	42196683	42222303	rs5751191	2.181E-14
RBFOX1	16	6069095	7763340	rs79478621	2.936E-08
FNDC4	2	27714750	27718112	rs12474906	1.155E-08
STRN	2	37070783	37193615	rs3770752	1.952E-11
C11orf68	11	65684279	65686588	rs58950470	1.604E-09
STRC	15	43891596	44010458	rs2929278	1.592E-12
PHF5A	22	41855721	41864729	rs5751191	2.181E-14
PCDHA10	5	140235595	140391929	rs10069930	1.726E-10
C12orf10	12	53693470	53700961	rs61928076	4.227E-08
DARS2	1	173793641	173827684	rs61828917	8.413E-10
BCAS2	1	115110178	115124260	rs2224086	6.777E-09
SNX17	2	27593389	27599995	rs12474906	1.155E-08
STAT6	12	57489191	57525922	rs61937595	3.074E-15
APH1A	1	150237804	150241980	rs12138231	1.809E-09
CHRNB4	15	78916461	79020096	rs2456020	6.32E-16
SNX19	11	130745331	130786404	rs10894308	1.092E-08
HBEGF	5	139712428	139726216	rs10069930	1.726E-10
FOSL1	11	65659520	65668044	rs58950470	1.604E-09
MARK3	14	103851729	103970168	rs10873538	1.702E-14
BCL7A	12	122457328	122499948	rs143116451	1.442E-09
CTDSPL	3	37903451	38025960	rs71323641	3.893E-08
BNIP3L	8	26240414	26363152	rs3808581	4.046E-12
EFNA5	5	106712590	107006596	rs252812	2.111E-09
AP001362.1	11	65358665	65359947	rs58950470	1.604E-09
TYW5	2	200794698	200820459	rs1658810	1.388E-16
ZNRD1	6	30026676	30032686	rs13195636	2.901E-41
LRP1	12	57522276	57607134	rs61937595	3.074E-15
GALNT10	5	153570290	153800544	rs11740474	4.025E-09
WDR17	4	176986985	177103978	rs41533650	1.137E-14
TMTC1	12	29653773	29937692	rs7312697	1.615E-11
PDE4B	1	66258197	66840259	rs6588168	2.736E-10
HARS2	5	140071011	140078889	rs10069930	1.726E-10
CDH12	5	21750782	22853731	rs11750149	4.121E-08
CDH16	16	66942025	66952887	rs77463171	8.688E-09
C1orf210	1	43747554	43751288	rs11210892	1.415E-16
C1orf216	1	36179476	36185073	rs581459	1.48E-09
C1orf189	1	154171848	154178809	rs10127983	1.18E-08
GPD1	12	50497602	50505102	rs578470	4.537E-09
ZMYND10	3	50378541	50384283	rs2710323	6.552E-21
BTN2A2	6	26383324	26395102	rs13195636	2.901E-41
UCN2	3	48599160	48601206	rs2710323	6.552E-21
MICU3	8	16884747	16980153	rs7845103	3.253E-08
FAM180B	11	47608198	47610746	rs12285419	1.071E-16
AP000783.1	11	123301058	123306427	rs77502336	2.558E-11
GAK	4	843064	926161	rs35734242	2.226E-09
ACY1	3	52009066	52023213	rs2710323	6.552E-21
ATP5G2	12	54026510	54071192	rs61928076	4.227E-08
C10orf32	10	104613980	104624718	rs79668541	2.389E-24
KMT2E	7	104654626	104754808	rs2252074	1.579E-14
NRGN	11	124609742	124617106	rs1940171	1.624E-12
PKN3	9	131464802	131483197	rs6478858	2.473E-08
CPNE8	12	39040624	39301232	rs1463209	4.988E-10
ALDOA	16	30064411	30081778	rs3814883	2.791E-16
INO80E	16	30006615	30017114	rs3814883	2.791E-16
RAB32	6	146864829	146876101	rs2206956	1.396E-09
EYS	6	64429876	66417118	rs9341835	1.156E-08
BLM	15	91260558	91358859	rs4702	1.373E-24
SPATA2L	16	89762751	89768113	rs11076631	7.285E-10
HTR1A	5	63256183	63258334	rs7378757	4.389E-08
CKAP5	11	46764598	46867847	rs12285419	1.071E-16
DNAH10	12	124247042	124420753	rs12311848	4.797E-08
DNAH11	7	21582833	21941457	rs7811417	1.349E-09
C14orf23	14	29241910	29282493	rs10148671	2.051E-09
NRAS	1	115247090	115259515	rs2224086	6.777E-09
RP11-139J15.7	10	18931405	18944123	rs6482437	2.729E-16
GOLGA6L10	15	82635130	82641706	rs4779050	5.036E-09
BDNF	11	27676440	27743605	rs36029218	4.287E-08
ZNF71	19	57106632	57137849	rs758749	1.424E-08
RBM15B	3	51428731	51435330	rs2710323	6.552E-21
GOLGA6L18	15	82930438	82939159	rs4779050	5.036E-09
GOLGA6L19	15	83011379	83018198	rs4779050	5.036E-09
RFTN2	2	198432948	198540769	rs2914983	2.058E-14
NDST3	4	118954773	119179803	rs28521069	1.96E-08
APEH	3	49711435	49721396	rs2710323	6.552E-21
PTBP2	1	97187221	97289294	rs59519965	1.886E-09
ZNF664	12	124456392	124499986	rs12311848	4.797E-08
IREB2	15	78729773	78793798	rs2456020	6.32E-16
EHBP1L1	11	65343509	65360121	rs58950470	1.604E-09
BOLL	2	198591603	198651486	rs2914983	2.058E-14
TSPAN2	1	115590632	115632121	rs2224086	6.777E-09
ATP2B1	12	89981828	90103077	rs10777187	2.594E-08
ELFN1	7	1727755	1787590	rs58120505	2.838E-27
KCTD13	16	29916333	29938356	rs3814883	2.791E-16
ZNF440	19	11925099	11946016	rs72986630	2.625E-10
ZNF441	19	11877815	11894893	rs72986630	2.625E-10
KCTD18	2	201353675	201384507	rs1658810	1.388E-16
ZKSCAN3	6	28317691	28336947	rs13195636	2.901E-41
PPIP5K1	15	43825660	43882430	rs2929278	1.592E-12
ZKSCAN4	6	28212401	28227011	rs13195636	2.901E-41
GFRA3	5	137588068	137610360	rs10117	7.359E-12
ZKSCAN8	6	28109688	28127250	rs13195636	2.901E-41
CORO7-PAM16	16	4390252	4470495	rs8048039	1.05E-08
UBE2L6	11	57319129	57335757	rs7938083	1.041E-10
DCP1A	3	53317447	53381654	rs2710323	6.552E-21
MAPKAPK3	3	50648951	50686720	rs2710323	6.552E-21
TMEM180	10	104221149	104236802	rs79668541	2.389E-24
ZNF281	1	200374068	200379184	rs4915203	3.892E-09
NHP2L1	22	42069934	42086508	rs5751191	2.181E-14
STAG1	3	136055077	136471220	rs7432375	1.837E-14
HCAR3	12	123199303	123201439	rs2102949	3.34E-23
HCAR2	12	123185840	123187890	rs2102949	3.34E-23
HCAR1	12	123104824	123215390	rs2102949	3.34E-23
TAF5	10	105127724	105148822	rs79668541	2.389E-24
IMMP2L	7	110303110	111202573	rs38752	2.237E-14
HMOX2	16	4524691	4560348	rs8048039	1.05E-08
BTBD1	15	83685174	83736106	rs4779050	5.036E-09
LUZP2	11	24518516	25104150	rs12363019	1.98E-10
RP5-966M1.6	3	52847298	52869745	rs2710323	6.552E-21
RBKS	2	28004231	28113965	rs12474906	1.155E-08
FAHD2B	2	97749320	97760619	rs7575796	2.921E-08
OR6Q1	11	57798402	57799403	rs7938083	1.041E-10
SMIM4	3	52568029	52613253	rs2710323	6.552E-21
GRAP	17	18923986	18950950	rs4073003	2.651E-12
POLD1	19	50887461	50921273	rs2387414	2.048E-10
TCF25	16	89940000	89977792	rs11076631	7.285E-10
REEP2	5	137774706	137782658	rs10117	7.359E-12
TCF20	22	42556019	42739622	rs5751191	2.181E-14
PRUNE	1	150980896	151008189	rs12138231	1.809E-09
ARL6IP4	12	123464607	123467456	rs2102949	3.34E-23
CHRNA5	15	78857862	78887611	rs2456020	6.32E-16
FES	15	91426925	91439006	rs4702	1.373E-24
CHRNA2	8	27317279	27337400	rs73229090	3.146E-13
CHRNA3	15	78885394	78913637	rs2456020	6.32E-16
MAPK8IP2	22	51039114	51052409	rs6010045	1.418E-08
TNN	1	175036994	175117202	rs61828917	8.413E-10
SREBF2	22	42229109	42303312	rs5751191	2.181E-14
HAX1	1	154244987	154248351	rs10127983	1.18E-08
CACYBP	1	174968300	174980851	rs61828917	8.413E-10
FBXO41	2	73481810	73511559	rs6546857	5.58E-09
BTN2A1	6	26458150	26476849	rs13195636	2.901E-41
ANKRD1	10	92671853	92681033	rs61857878	5.242E-09
FSHB	11	30252563	30256808	rs605765	4.385E-08
GLI1	12	57853918	57866045	rs61937595	3.074E-15
DISP2	15	40650436	40663257	rs56205728	1.247E-11
RP11-73M18.2	14	104029299	104152261	rs10873538	1.702E-14
COL8A2	1	36560837	36590821	rs581459	1.48E-09
YPEL4	11	57412560	57417417	rs7938083	1.041E-10
ORC5	7	103766788	103848495	rs2299409	4.223E-08
PDIA3	15	44038590	44065477	rs2929278	1.592E-12
RAB3D	19	11432722	11456946	rs322128	2.606E-09
RAB3C	5	57878048	58155213	rs39967	9.944E-10
CFL1	11	65590493	65629497	rs58950470	1.604E-09
C8orf86	8	38368352	38386180	rs7816998	6.229E-10
CTD-3148I10.9	19	49966009	49989488	rs2304205	3.469E-15
RCC1	1	28832455	28865812	rs61786047	2.458E-08
YPEL3	16	30103635	30108236	rs3814883	2.791E-16
PLEKHG5	1	6526152	6580121	rs11122119	8.494E-09
ZFP57	6	29640169	29648887	rs13195636	2.901E-41
C2orf47	2	200820040	200873263	rs1658810	1.388E-16
